unit,status,no_rooms,no_bath,area(ftsq),id,units,stories,zip,age,Co-op,Condo,Rental Building,Single-Family Home,Doorman,Full-time Doorman,Elevator,Part-time Doorman,Cats and Dogs Allowed,Cats Only - No Dogs,Pets Allowed,ZIPCODE,SCORE
7,#2D,848000.0,2.0,1.0,646,784204,28.0,8.0,10002.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10002.0,22.02392807745505
8,#4,3200.0,2.0,1.0,650,784204,28.0,8.0,10002.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10002.0,22.02392807745505
9,#4D,3950.0,1.0,1.0,646,784204,28.0,8.0,10002.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10002.0,22.02392807745505
10,#D,2900.0,2.0,1.0,800,784204,28.0,8.0,10002.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10002.0,22.02392807745505
11,#7B,2975.0,1.0,1.0,485,784204,28.0,8.0,10002.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10002.0,22.02392807745505
12,#8C,2300.0,1.0,1.0,500,784204,28.0,8.0,10002.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10002.0,22.02392807745505
18,#1B,3499.0,1.0,1.0,514,786264,10.0,5.0,10009.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10009.0,20.329950495049506
19,#1B,3499.0,1.0,1.0,514,786264,10.0,5.0,10009.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10009.0,20.329950495049506
20,#2A,470450.0,1.0,1.0,485,786264,10.0,5.0,10009.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10009.0,20.329950495049506
21,#2A,470450.0,1.0,1.0,485,786264,10.0,5.0,10009.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10009.0,20.329950495049506
22,#2B,2800.0,1.0,1.0,482,786264,10.0,5.0,10009.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10009.0,20.329950495049506
23,#2B,2800.0,1.0,1.0,482,786264,10.0,5.0,10009.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10009.0,20.329950495049506
24,#3B,2800.0,1.0,1.0,482,786264,10.0,5.0,10009.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10009.0,20.329950495049506
25,#3B,2800.0,1.0,1.0,482,786264,10.0,5.0,10009.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10009.0,20.329950495049506
26,#4A,2600.0,1.0,1.0,485,786264,10.0,5.0,10009.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10009.0,20.329950495049506
27,#4A,2600.0,1.0,1.0,485,786264,10.0,5.0,10009.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10009.0,20.329950495049506
28,#4B,2650.0,1.0,1.0,482,786264,10.0,5.0,10009.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10009.0,20.329950495049506
29,#4B,2650.0,1.0,1.0,482,786264,10.0,5.0,10009.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10009.0,20.329950495049506
30,#3,12000.0,2.0,2.5,1515,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
31,#15C,3995.0,1.0,1.0,800,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
32,STE-411,1100000.0,0.0,1.0,611,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
33,#201,4500.0,0.0,1.0,564,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
34,#203,950000.0,1.0,1.0,773,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
