unit,status,no_rooms,no_bath,area(ftsq),id
#3,"Off-Market on 10/12/2010 at $1,650",studio,1 bath,,73971
#4,"Off-Market on 08/22/2018 at $10,250",2 beds,3 baths,"2,000 ftsq",73971
#1,"Off-Market on 10/18/2018 at $5,995",2 beds,1 bath,"1,100 ftsq",786613
#2,"Listed for rent at $6,500",2 beds,1 bath,"1,200 ftsq",786613
#3,"Off-Market on 02/15/2011 at $5,400",2 beds,1 bath,"1,200 ftsq",786613
#5,"Off-Market on 11/20/2013 at $5,200",2 beds,1 bath,"1,200 ftsq",786613
#4-5,"Sold on 04/24/2006 for $3,495,000",3 beds,2 baths,,786613
#1A,Off-Market,,,,73749
#2W,"Off-Market on 10/28/2015 at $2,995",2 beds,1 bath,,73749
TOWNHOUSE,"Off-Market on 10/24/2012 at $14,900",5 beds,4 baths,"2,800 ftsq",73749
#TH,"Off-Market on 10/24/2012 at $14,900",5 beds,4 baths,"2,800 ftsq",73749
#2A,Sold on 06/01/2017 for $0,,,,784204
#2B,"Sold on 10/15/1998 for $130,000",,,500 ftsq,784204
#2C,"Sold on 03/18/2013 for $335,000",,,510 ftsq,784204
#2D,"Listed for sale at $848,000",2 beds,1 bath,646 ftsq,784204
#3B,"Sold on 07/31/2003 for $270,000",,,485 ftsq,784204
#3D,"Sold on 10/03/2000 for $205,000",,,646 ftsq,784204
#4,"Off-Market on 09/28/2015 at $3,200",2 beds,1 bath,650 ftsq,784204
#4A,"Sold on 06/29/2004 for $370,000",,,646 ftsq,784204
#4B,Sold on 04/13/2018 for $0,,,485 ftsq,784204
#4C,"Sold on 03/06/2000 for $157,000",,,495 ftsq,784204
#4D,"Off-Market on 08/04/2017 at $3,950",1 bed,1 bath,646 ftsq,784204
#D,"Off-Market on 04/07/2015 at $2,900",2 beds,1 bath,800 ftsq,784204
#5A,Off-Market,,,,784204
#5B,"Sold on 08/06/2002 for $240,000",,,485 ftsq,784204
#5D,"Sold on 02/09/2004 for $300,000",,,646 ftsq,784204
#6A,"Sold on 11/27/2000 for $250,000",,,646 ftsq,784204
#6B,Sold on 09/30/2013 for $0,,,485 ftsq,784204
#6C,"Off-Market on 07/14/2016 at $3,000",1 bed,1 bath,,784204
#6D,Off-Market,,,646 ftsq,784204
#7B,"Off-Market on 03/19/2018 at $2,975",1 bed,1 bath,485 ftsq,784204
#7C,Off-Market,,,495 ftsq,784204
#8A,"Sold on 01/12/2000 for $150,000",,,646 ftsq,784204
#8B,"Sold on 09/26/2005 for $412,000",,,485 ftsq,784204
#8C,"Off-Market on 02/02/2015 at $2,300",1 bed,1 bath,500 ftsq,784204
#8D,Sold on 12/29/2010 for $0,,,646 ftsq,784204
#STA,"Sold on 06/26/2013 for $825,000",,,654 ftsq,784204
#STORB,"Sold on 03/02/2001 for $180,000",,,500 ftsq,784204
#STORC,Off-Market,,,"4,288 ftsq",784204
#1,"Off-Market on 05/10/2017 at $2,795",2 beds,1 bath,,785105
#2AK,"Off-Market on 11/13/2017 at $2,995",2 beds,1 bath,,785105
#2R,"Off-Market on 02/05/2017 at $5,495",3 beds,2 baths,,785105
#3,"Off-Market on 04/06/2018 at $2,700",2 beds,1 bath,,785105
#4D,"Off-Market on 07/13/2018 at $4,000",2 beds,1 bath,600 ftsq,785105
#4G,"Off-Market on 07/03/2018 at $5,000",2 beds,1 bath,600 ftsq,785105
#5,"Listed for rent at $3,050",2 beds,1 bath,,785105
#6,"Off-Market on 06/09/2018 at $2,900",2 beds,1 bath,,785105
#6A,"Off-Market on 07/05/2018 at $2,900",2 beds,1 bath,,785105
#7,"Off-Market on 12/04/2017 at $2,995",2 beds,1 bath,,785105
#10,"Off-Market on 05/04/2016 at $3,200",2 beds,1 bath,,785105
#11,"Off-Market on 10/05/2018 at $2,800",2 beds,1 bath,,785105
#12,"Off-Market on 08/29/2015 at $2,800",2 beds,1 bath,,785105
#13,"Off-Market on 06/07/2018 at $2,900",2 beds,1 bath,,785105
#14,"Off-Market on 04/24/2018 at $3,000",2 beds,1 bath,,785105
#18,"Off-Market on 04/27/2017 at $2,995",2 beds,1 bath,,785105
#1,"Listed for rent at $10,000",1 bed,1 bath,825 ftsq,73319
TOWNHOUSE,Off-Market,5 beds,5+ baths,"4,500 ftsq",73319
#TH,"Off-Market on 05/09/2018 at $32,000",5 beds,5 baths,"4,650 ftsq",73319
#1,"Off-Market on 04/04/2017 at $3,950",2 beds,1 bath,,785404
#TWNH,"Off-Market on 08/25/2009 at $70,000",6 beds,7 baths,"13,000 ftsq",73150
#1A,"Sold on 10/21/2005 for $380,000",,,380 ftsq,786264
#1B,"Off-Market on 11/26/2018 at $3,499",1 bed,1 bath,514 ftsq,786264
#2A,"Sold on 03/16/2010 for $470,450",1 bed,1 bath,485 ftsq,786264
#2B,"Off-Market on 02/25/2017 at $2,800",1 bed,1 bath,482 ftsq,786264
#3A,"Sold on 06/23/2010 for $525,000",,,485 ftsq,786264
#3B,"Off-Market on 08/02/2017 at $2,800",1 bed,1 bath,482 ftsq,786264
#4A,"Off-Market on 03/03/2016 at $2,600",1 bed,1 bath,485 ftsq,786264
#4B,"Off-Market on 04/13/2018 at $2,650",1 bed,1 bath,482 ftsq,786264
#5A,Off-Market,,,485 ftsq,786264
#5B,"Sold on 11/01/2001 for $217,000",,,482 ftsq,786264
#31A,"Sold on 12/27/2001 for $171,500",,,380 ftsq,786264
#40,"Off-Market on 04/01/2016 at $2,600",1 bed,1 bath,,786264
#UNK,"Sold on 06/24/2002 for $217,000",,,485 ftsq,786264
#2,Off-Market,,,,780184
#A,Sold on 07/24/2014 for $0,,,,780184
