,unit,status,no_rooms,no_bath,area(ftsq),id,date,price
0,#3,"Off-Market,rent",studio,1 bath,,73971, 10/12/2010 ,1650.0
1,#4,"Off-Market,sale",2 beds,3 baths,"2,000 ftsq",73971, 08/22/2018 ,10250.0
2,#1,"Off-Market,rent",2 beds,1 bath,"1,100 ftsq",786613, 10/18/2018 ,5995.0
3,#3,"Off-Market,rent",2 beds,1 bath,"1,200 ftsq",786613, 02/15/2011 ,5400.0
4,#5,"Off-Market,rent",2 beds,1 bath,"1,200 ftsq",786613, 11/20/2013 ,5200.0
5,#2W,"Off-Market,rent",2 beds,1 bath,,73749, 10/28/2015 ,2995.0
6,TOWNHOUSE,"Off-Market,sale",5 beds,4 baths,"2,800 ftsq",73749, 10/24/2012 ,14900.0
7,#TH,"Off-Market,sale",5 beds,4 baths,"2,800 ftsq",73749, 10/24/2012 ,14900.0
8,#4,"Off-Market,rent",2 beds,1 bath,650 ftsq,784204, 09/28/2015 ,3200.0
9,#4D,"Off-Market,rent",1 bed,1 bath,646 ftsq,784204, 08/04/2017 ,3950.0
10,#D,"Off-Market,rent",2 beds,1 bath,800 ftsq,784204, 04/07/2015 ,2900.0
11,#6C,"Off-Market,rent",1 bed,1 bath,,784204, 07/14/2016 ,3000.0
12,#7B,"Off-Market,rent",1 bed,1 bath,485 ftsq,784204, 03/19/2018 ,2975.0
13,#8C,"Off-Market,rent",1 bed,1 bath,500 ftsq,784204, 02/02/2015 ,2300.0
14,#1,"Off-Market,rent",2 beds,1 bath,,785105, 05/10/2017 ,2795.0
15,#2AK,"Off-Market,rent",2 beds,1 bath,,785105, 11/13/2017 ,2995.0
16,#2R,"Off-Market,rent",3 beds,2 baths,,785105, 02/05/2017 ,5495.0
17,#3,"Off-Market,rent",2 beds,1 bath,,785105, 04/06/2018 ,2700.0
18,#4D,"Off-Market,rent",2 beds,1 bath,600 ftsq,785105, 07/13/2018 ,4000.0
19,#4G,"Off-Market,rent",2 beds,1 bath,600 ftsq,785105, 07/03/2018 ,5000.0
20,#6,"Off-Market,rent",2 beds,1 bath,,785105, 06/09/2018 ,2900.0
21,#6A,"Off-Market,rent",2 beds,1 bath,,785105, 07/05/2018 ,2900.0
22,#7,"Off-Market,rent",2 beds,1 bath,,785105, 12/04/2017 ,2995.0
23,#10,"Off-Market,rent",2 beds,1 bath,,785105, 05/04/2016 ,3200.0
24,#11,"Off-Market,rent",2 beds,1 bath,,785105, 10/05/2018 ,2800.0
25,#12,"Off-Market,rent",2 beds,1 bath,,785105, 08/29/2015 ,2800.0
26,#13,"Off-Market,rent",2 beds,1 bath,,785105, 06/07/2018 ,2900.0
27,#14,"Off-Market,rent",2 beds,1 bath,,785105, 04/24/2018 ,3000.0
28,#18,"Off-Market,rent",2 beds,1 bath,,785105, 04/27/2017 ,2995.0
29,#TH,"Off-Market,sale",5 beds,5 baths,"4,650 ftsq",73319, 05/09/2018 ,32000.0
30,#1,"Off-Market,rent",2 beds,1 bath,,785404, 04/04/2017 ,3950.0
31,#TWNH,"Off-Market,sale",6 beds,7 baths,"13,000 ftsq",73150, 08/25/2009 ,70000.0
32,#1B,"Off-Market,rent",1 bed,1 bath,514 ftsq,786264, 11/26/2018 ,3499.0
33,#2B,"Off-Market,rent",1 bed,1 bath,482 ftsq,786264, 02/25/2017 ,2800.0
